"id";"afternoonTemperature";"date";"eveningTemperature";"morningTemperature";"nightTemperature"
1;-3.42;"2010-01-28";-2.83;-4.58;-4.58
2;-1.1;"2010-02-01";-5.5;-1.18;6.0
3;-2.67;"2010-02-03";-2.83;-3.92;-4.5
4;-10.6;"2010-01-26";-12.42;-9.25;-11.83
5;-6.92;"2010-02-06";-6.17;-7.92;-5.67
6;5.25;"2010-01-31";6.08;4.33;2.33
7;0.25;"2010-02-10";0.0;-1.92;-3.0
8;-4.33;"2010-02-05";-4.92;-5.83;-3.33
9;4.17;"2010-02-13";1.42;1.08;0.92
10;-5.0;"2010-02-08";-5.0;-5.27;-6.85
11;3.33;"2010-02-17";1.75;-0.67;-4.08
12;0.42;"2010-02-12";0.17;0.0;0.0
13;5.5;"2010-02-21";3.0;3.67;2.17
14;0.0;"2010-02-16";-2.75;-1.75;-2.75
15;6.08;"2010-02-25";4.0;2.92;3.33
16;8.0;"2010-02-20";4.17;6.0;3.67
17;9.5;"2010-03-02";4.25;5.0;4.5
18;5.58;"2010-02-24";6.33;4.82;5.15
19;1.08;"2010-02-28";0.08;-0.58;-0.17
20;3.75;"2010-03-04";2.25;1.42;1.0
21;-4.17;"2010-01-29";-11.42;-3.83;-4.0
22;1.67;"2010-01-30";1.17;-5.75;-13.25
23;-7.0;"2010-02-07";-7.0;-7.83;-7.17
24;0.0;"2010-02-11";0.0;-0.42;0.42
25;3.58;"2010-02-14";1.42;0.83;-0.5
26;2.0;"2010-02-18";1.25;1.5;1.0
27;7.36;"2010-02-23";4.17;4.92;2.38
28;0.5;"2010-02-27";0.0;0.08;0.58
29;6.67;"2010-03-01";5.85;5.0;3.27
30;3.33;"2010-03-05";2.42;1.25;0.83
31;-2.42;"2010-01-27";-2.91;-3.46;-11.83
32;-4.83;"2010-02-02";-5.17;-5.5;-4.5
33;-4.08;"2010-02-04";-4.0;-6.67;-4.67
34;-2.7;"2010-02-09";-2.92;-4.13;-4.39
35;-0.75;"2010-02-15";-2.33;0.42;0.83
36;2.58;"2010-02-19";1.5;1.25;1.0
37;6.67;"2010-02-22";2.17;1.75;1.17
38;4.17;"2010-02-26";0.83;1.5;0.75
39;6.17;"2010-03-03";2.64;2.33;1.15
40;1.83;"2010-03-06";-1.25;0.67;1.92
41;-0.58;"2010-03-07";-3.75;-3.17;-3.0
42;1.0;"2010-03-12";0.0;-0.5;-0.93
43;4.33;"2010-03-16";2.73;-1.92;-3.0
44;15.0;"2010-03-21";8.0;7.83;4.67
